test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,50,-1,-2,-1,-2,-0.004401559543029788,-0.008234738711664571
0,51,0,-1,0,-1,0.0008595274655133892,-0.0057944634999054865
0,52,0,0,0,0,0.0,0.0
0,53,-1,0,-1,0,-0.0063932052727392295,0.0009483424176671435
0,54,-2,-1,-2,-1,-0.010034058152459068,-0.0053633158212672005
0,55,-1,-2,-1,-2,-0.0054995728737875435,-0.011627869884017032
0,56,0,-2,0,-2,0.001939866260412068,-0.009752366260412065
0,57,0,-1,0,-1,0.0021966729181998896,-0.0019909482806715
0,58,-1,0,-1,0,-0.006311706873036858,0.0006216488675044565
0,59,-2,-2,-2,-2,-0.01303149446732535,-0.0078107771951184245
0,60,-1,-3,-1,-3,-0.0078125,-0.018861043456039804
0,61,0,-3,0,-3,0.00468510502085932,-0.0187039876937352
0,62,1,-1,1,-1,0.007961427520714898,-0.006533774710970322
0,63,-1,0,-1,0,-0.006265149874341387,0.00030778707665996637
0,64,-3,-2,-3,-2,-0.023544294891116594,-0.015731794891116594
0,65,-3,-7,-3,-7,-0.017592662805239787,-0.049168198710202296
0,66,2,-10,2,-10,0.0213760501970083,-0.0704673937516253
0,67,9,-7,9,-7,0.07104954431948002,-0.052693933356921546
1,0,4,-6,4,-6,0.034337710140409775,-0.039591712435346864
1,1,4,-5,4,-5,0.03805303111429583,-0.03603538336502657
1,2,5,-5,5,-5,0.04140188059664842,-0.032132013853956726
1,3,5,-4,5,-4,0.04435200733628515,-0.027919195484327773
1,4,6,-3,6,-3,0.046875,-0.0234375
1,5,6,-3,6,-3,0.048946560789233304,-0.01873008857843146
1,6,6,-2,6,-2,0.05054673944115443,-0.0138422961649447
1,7,6,-2,6,-2,0.05166012536059875,-0.008821194872420723
1,8,6,-1,6,-1,0.05227599603252335,-0.0037151406511196985
1,9,6,0,6,0,0.052388420285688464,0.0014266924055540663
1,10,6,0,6,0,0.05199631541307873,0.006554785634452949
1,11,6,1,6,1,0.05110345759896374,0.011619752694481733
1,12,6,2,6,2,0.04971844555217913,0.01657281518405971
1,13,6,2,6,2,0.04785461769586003,0.021366272403792855
1,14,5,3,5,3,0.045529923711134755,0.025953960740284884
1,15,5,3,5,3,0.042766751671883214,0.030291698246969825
1,16,5,4,5,4,0.039591712435346864,0.034337710140409775
1,17,4,4,4,4,0.03603538336502657,0.03805303111429583
1,18,4,5,4,5,0.032132013853956726,0.04140188059664842
1,19,3,5,3,5,0.027919195484327773,0.04435200733628515
1,20,3,6,3,6,0.0234375,0.046875
1,21,2,6,2,6,0.01873008857843146,0.048946560789233304
1,22,1,6,1,6,0.0138422961649447,0.05054673944115443
1,23,1,6,1,6,0.008821194872420723,0.05166012536059875
1,24,0,6,0,6,0.0037151406511196985,0.05227599603252335
1,25,-1,6,-1,6,-0.0014266924055540663,0.052388420285688464
1,26,-1,6,-1,6,-0.006554785634452949,0.05199631541307873
1,27,-2,6,-2,6,-0.011619752694481733,0.05110345759896374
1,28,-3,6,-3,6,-0.01657281518405971,0.04971844555217913
1,29,-3,6,-3,6,-0.021366272403792855,0.04785461769586003
1,30,-4,5,-4,5,-0.025953960740284884,0.045529923711134755
1,31,-4,5,-4,5,-0.030291698246969825,0.042766751671883214
1,32,-5,5,-5,5,-0.034337710140409775,0.039591712435346864
1,33,-5,4,-5,4,-0.03805303111429583,0.03603538336502657
1,34,-6,4,-6,4,-0.04140188059664842,0.032132013853956726
1,35,-6,3,-6,3,-0.04435200733628515,0.027919195484327773
1,36,-6,3,-6,3,-0.046875,0.0234375
1,37,-7,2,-7,2,-0.048946560789233304,0.01873008857843146
1,38,-7,1,-7,1,-0.05054673944115443,0.0138422961649447
1,39,-7,1,-7,1,-0.05166012536059875,0.008821194872420723
1,40,-7,0,-7,0,-0.05227599603252335,0.0037151406511196985
1,41,-7,-1,-7,-1,-0.052388420285688464,-0.0014266924055540663
1,42,-7,-1,-7,-1,-0.05199631541307873,-0.006554785634452949
1,43,-7,-2,-7,-2,-0.05110345759896374,-0.011619752694481733
1,44,-7,-3,-7,-3,-0.04971844555217913,-0.01657281518405971
1,45,-7,-3,-7,-3,-0.04785461769586003,-0.021366272403792855
1,46,-6,-4,-6,-4,-0.045529923711134755,-0.025953960740284884
1,47,-6,-4,-6,-4,-0.042766751671883214,-0.030291698246969825
1,48,-6,-5,-6,-5,-0.039591712435346864,-0.034337710140409775
1,49,-5,-5,-5,-5,-0.03603538336502657,-0.03805303111429583
1,50,-5,-6,-5,-6,-0.032132013853956726,-0.04140188059664842
1,51,-4,-6,-4,-6,-0.027919195484327773,-0.04435200733628515
1,52,-3,-6,-3,-6,-0.0234375,-0.046875
1,53,-3,-7,-3,-7,-0.01873008857843146,-0.048946560789233304
1,54,-2,-7,-2,-7,-0.0138422961649447,-0.05054673944115443
1,55,-2,-7,-2,-7,-0.008821194872420723,-0.05166012536059875
1,56,-1,-7,-1,-7,-0.0037151406511196985,-0.05227599603252335
1,57,0,-7,0,-7,0.0014266924055540663,-0.052388420285688464
1,58,0,-7,0,-7,0.006554785634452949,-0.05199631541307873
1,59,1,-7,1,-7,0.011619752694481733,-0.05110345759896374
1,60,2,-7,2,-7,0.01657281518405971,-0.04971844555217913
1,61,2,-7,2,-7,0.021366272403792855,-0.04785461769586003
1,62,3,-6,3,-6,0.025953960740284884,-0.045529923711134755
1,63,3,-6,3,-6,0.030291698246969825,-0.042766751671883214
1,64,4,-6,4,-6,0.034337710140409775,-0.039591712435346864
1,65,4,-5,4,-5,0.03805303111429583,-0.03603538336502657
1,66,5,-5,5,-5,0.04140188059664842,-0.032132013853956726
1,67,5,-4,5,-4,0.04435200733628515,-0.027919195484327773
2,0,-4,-15,-4,-15,-0.029804029629699844,-0.1117821243903495
2,1,7,-14,7,-14,0.05412814782341272,-0.10865860267605501
2,2,14,-7,14,-7,0.10936958805287325,-0.0499350396325874
2,3,14,3,14,3,0.10998573928891851,0.02318376716511516
2,4,9,9,9,9,0.0703125,0.0703125
2,5,3,10,3,10,0.02461560333572543,0.08084004447377546
2,6,-1,9,-1,9,-0.0053091371290057195,0.07274605634659614
2,7,-4,8,-4,8,-0.024549420073046137,0.06660456648587323
2,8,-7,7,-7,7,-0.05039808407752072,0.062063678838170364
2,9,-11,5,-11,5,-0.08559663320930949,0.03995516067386594
2,10,-14,-2,-14,-2,-0.10780840295713465,-0.012528852881087613
2,11,-12,-11,-12,-11,-0.08780514361661965,-0.07930076393698762
2,12,-3,-16,-3,-16,-0.02059405444782087,-0.12003094555217914
