net,length_um
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[12\],379.17µm
_07119_,379.01µm
_07101_,378.56µm
top_state\[5\],378.15µm
_06045_,378µm
_04410_,377.59µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[8\],377.08µm
_06532_,376.98µm
clknet_leaf_63_clk_regs,376.31µm
_04239_,375.96µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[6\],375.35µm
net163,375.17µm
clknet_leaf_40_clk_regs,374.68µm
clknet_leaf_87_clk_regs,374.48µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[4\],374.28µm
clknet_leaf_77_clk_regs,373.97µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[11\],373.87µm
u_transform_scheduler_core.bf_X0_i\[2\],373.57µm
_06726_,373.11µm
_03919_,372.7µm
clknet_leaf_54_clk_regs,372.64µm
_02827_,372.6µm
_02463_,372.04µm
u_transform_scheduler_core.mod_diag_X1_q\[11\],371.48µm
clknet_leaf_67_clk_regs,371.42µm
clknet_leaf_72_clk_regs,371.12µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[3\],370.92µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[6\],370.87µm
top_state\[2\],370.26µm
u_transform_scheduler_core.bf_X0_i\[12\],369.24µm
_03801_,369.14µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[0\],369.09µm
_04641_,368.53µm
clknet_leaf_59_clk_regs,368.42µm
u_transform_scheduler_core.dft12_state\[1\],368.02µm
_08126_,367µm
clknet_leaf_4_clk_regs,366.94µm
clknet_leaf_78_clk_regs,366.33µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[9\],365.88µm
_04219_,365.27µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[1\],364.96µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[10\],364.38µm
_04417_,364.2µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[1\],364.1µm
net103,363.74µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[7\],363.03µm
_06861_,362.98µm
clknet_leaf_69_clk_regs,362.36µm
_02548_,362.18µm
_04438_,362.01µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[3\],361.35µm
u_transform_scheduler_core.mod_diag_X1_q\[13\],360.84µm
clknet_leaf_41_clk_regs,360.78µm
clknet_leaf_9_clk_regs,360.58µm
_05487_,359.52µm
