dout_PDRV0[1],588.84µm
dout_OE[0],588.82µm
dout_PDRV1[2],588.65µm
dout_OE[4],588.42µm
_08672_,588.2µm
dout_IE[5],588.045µm
u_core.core_X2_i\[1\],587.99µm
dout_IE[4],587.805µm
dout_CS[2],587.65µm
dout_PD[4],587.42µm
dout_SL[5],587.28µm
dout_PD[5],587.18µm
dout_CS[0],587.03µm
dout_PD[1],587.02µm
dout_SL[1],586.92µm
dout_IE[2],586.765µm
u_core.core_X2_q\[5\],585.4µm
_04959_,584.25µm
_03967_,579.19µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[3\],578.02µm
_03999_,577.76µm
u_core.u_transform_scheduler_core.bf_X0_i\[5\],577.42µm
u_core.u_transform_scheduler_core.fifo_inverse\[0\]\[0\],576.25µm
_05409_,575.47µm
dout_PDRV0[6],574.98µm
_04963_,573.23µm
_03990_,570.89µm
u_core.core_X2_i\[0\],568.6µm
u_core.core_X2_i\[12\],565.14µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_uop_reg\[1\],564.48µm
u_core.core_X2_q\[15\],562.44µm
_08748_,556.23µm
_05646_,556.08µm
u_core.core_X2_q\[14\],555.16µm
_03749_,553.45µm
_02677_,552.66µm
_04414_,552.41µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[5\],551.24µm
_04001_,550.42µm
_05410_,549.81µm
_03465_,547.37µm
u_core.u_transform_scheduler_core.fifo_x1_i\[0\]\[10\],545.87µm
_05407_,543.6µm
_04505_,540.09µm
u_core.u_transform_scheduler_core.bf_X0_q\[15\],538.36µm
_04783_,537.53µm
u_core.u_transform_scheduler_core.bf_X0_i\[14\],536.4µm
_05398_,532.86µm
u_core.core_X2_i\[9\],531.4µm
u_core.core_X2_i\[3\],531.18µm
_07343_,530.88µm
u_core.core_X2_i\[4\],530.47µm
dout_SL[6],530.23µm
_02551_,528.63µm
_04197_,528.28µm
_03966_,527.67µm
_05400_,524.15µm
_05361_,523.9µm
u_core.u_transform_scheduler_core.fifo_x0_i\[0\]\[10\],522.59µm
u_core.u_transform_scheduler_core.tx_output_done,521.97µm
_02688_,521.15µm
net28,520.39µm
