dout_valid_o_SL,339.28µm
_04478_,337.27µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[2\],337.22µm
clknet_leaf_14_clk_regs,336.75µm
clknet_leaf_26_clk_regs,336.65µm
_02778_,336.2µm
clknet_leaf_41_clk_regs,335.94µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[6\],335.49µm
clknet_leaf_47_clk_regs,335.43µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[10\],335.13µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],334.37µm
clknet_leaf_8_clk_regs,333.8µm
clknet_leaf_32_clk_regs,333.63µm
clknet_leaf_73_clk_regs,333.14µm
_03692_,332.74µm
_05352_,332.13µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[15\],332.08µm
clknet_leaf_23_clk_regs,331.81µm
_08265_,331.01µm
_05435_,330.09µm
clknet_leaf_18_clk_regs,329.62µm
clknet_leaf_69_clk_regs,329.17µm
_02627_,328.46µm
dout_valid_o_OE,328.32µm
_04320_,328.31µm
_03007_,327.65µm
_03640_,327.14µm
_02662_,326.38µm
clknet_leaf_24_clk_regs,326.16µm
clknet_leaf_88_clk_regs,326.01µm
clknet_leaf_20_clk_regs,325.4µm
clknet_leaf_25_clk_regs,325.35µm
clknet_leaf_68_clk_regs,325.35µm
_02539_,324.03µm
clknet_leaf_7_clk_regs,323.01µm
_04655_,322.76µm
clknet_leaf_75_clk_regs,322.35µm
_05377_,322.15µm
clknet_leaf_1_clk_regs,321.84µm
u_core.u_transform_scheduler_core.dft12_phase\[2\],321.79µm
clknet_leaf_19_clk_regs,321.43µm
clknet_leaf_84_clk_regs,321.43µm
_02847_,320.93µm
_04199_,320.52µm
u_core.u_transform_scheduler_core.fifo_count\[0\],320.47µm
din[6],320.46µm
clknet_leaf_74_clk_regs,320.41µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],320.37µm
clknet_leaf_80_clk_regs,320.26µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],319.81µm
_02614_,318.89µm
_05138_,318.74µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[15\],318.18µm
_02532_,318.165µm
_04146_,315.33µm
_02516_,314.92µm
_02596_,314.82µm
u_core.u_transform_scheduler_core.bf_X0_q\[14\],314.72µm
clknet_leaf_93_clk_regs,314.05µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[3\],313.7µm
_07226_,312.53µm
clknet_leaf_16_clk_regs,312.52µm
clknet_leaf_31_clk_regs,312.01µm
clknet_leaf_2_clk_regs,311.76µm
clknet_leaf_6_clk_regs,311.68µm
_04313_,311.41µm
_02548_,311.1µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[0\],310.9µm
clknet_leaf_50_clk_regs,310.79µm
_06857_,310.29µm
_03045_,309.83µm
_03500_,309.73µm
clknet_leaf_36_clk_regs,308.65µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[7\],308.61µm
_06420_,308.04µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[2\],307.44µm
_02272_,306.32µm
clknet_leaf_46_clk_regs,305.8µm
_04693_,305.4µm
_06666_,305.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[4\],305.22µm
_07295_,305.04µm
_04304_,304.62µm
clknet_leaf_95_clk_regs,303.97µm
_05521_,303.52µm
clknet_leaf_71_clk_regs,302.75µm
_05554_,301.84µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[1\],300.26µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[3\],299.65µm
_02999_,298.12µm
_05337_,298.07µm
_04444_,298.02µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[2\],297.41µm
u_core.u_transform_scheduler_core.tx_ifft_block_ready,297µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_stage\[0\],294.81µm
_06397_,294.3µm
_03866_,294.2µm
_02538_,294.15µm
_06618_,293.44µm
din_ready_o_CS,293.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[1\],293.03µm
_03960_,292.42µm
clknet_leaf_62_clk_regs,291.6µm
_04346_,291.3µm
_04452_,290.41µm
din_ready_o_IE,289.165µm
clknet_leaf_30_clk_regs,288.59µm
_02255_,288.45µm
_02526_,287.99µm
_04543_,287.99µm
_05445_,287.99µm
_06634_,287.48µm
_02519_,286.92µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[1\],286.61µm
_02619_,286.51µm
_04477_,286.26µm
clknet_leaf_29_clk_regs,286.15µm
clknet_leaf_45_clk_regs,286.05µm
u_core.core_X2_q\[8\],284.25µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[3\],284.07µm
_06964_,283.97µm
_06229_,283.92µm
_03560_,283.46µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_addr0\[0\],283.46µm
_02284_,283.41µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[15\],283.1µm
_04872_,282.9µm
_02275_,281.68µm
din_ready_o_PU,281.425µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[6\],281.01µm
din_ready_o_PD,280.14µm
_03998_,279.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[2\],279.64µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[0\],278.87µm
_05418_,278.62µm
_04219_,278.37µm
net51,278.37µm
_05437_,277.91µm
u_core.u_transform_scheduler_core.rx_state\[3\],277.55µm
_04537_,275.62µm
_02531_,275.44µm
clknet_leaf_42_clk_regs,275.36µm
_02707_,275.01µm
_07440_,274.96µm
_02592_,274.6µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[8\],274.45µm
_02657_,273.58µm
_06212_,273.54µm
_02645_,272.46µm
_03914_,272.41µm
_05417_,271.29µm
_02640_,270.93µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[7\],270.63µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[4\],270.22µm
din_ready_o_PDRV1,269.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[17\],269µm
_03647_,268.85µm
_04613_,268.85µm
_05095_,268.29µm
_06645_,268.29µm
_07550_,268.29µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],266.76µm
_05433_,266.1µm
_07144_,266.05µm
_03919_,265.69µm
_04946_,265.54µm
clknet_2_1_0_clk_regs,265.54µm
_02963_,265.44µm
_03315_,265.13µm
_04747_,264.98µm
_04846_,264.98µm
din_ready_o_PDRV0,264.65µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[14\],264.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[8\],264.57µm
_04490_,264.42µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[7\],264.42µm
_06405_,263.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[8\],263.86µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[13\],263.76µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[7\],263.3µm
_02633_,262.84µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[12\],262.69µm
_04897_,262.13µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],261.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[7\],259.43µm
_06544_,259.38µm
_04489_,259.33µm
_07487_,259.33µm
_04266_,258.87µm
_04714_,258.82µm
_07576_,258.72µm
_02590_,258.36µm
u_core.u_transform_scheduler_core.tx_mapper_done,258.21µm
_04604_,257.24µm
_04459_,257.09µm
u_core.u_transform_scheduler_core.tx_mem_addr\[7\],256.07µm
_06361_,255.97µm
_03666_,255.61µm
_07425_,253.73µm
_03051_,253.65µm
_02579_,253.32µm
_02588_,252.89µm
_05494_,252µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[9\],249.55µm
_06728_,249.3µm
_07214_,248.64µm
net13,248.64µm
_03437_,248.08µm
clknet_leaf_35_clk_regs,247.87µm
_04203_,247.77µm
_03480_,247.72µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[3\],247.72µm
_04488_,246.65µm
_05164_,246.45µm
_09107_,246.4µm
_02048_,245.43µm
_02375_,244.92µm
_03540_,244.21µm
_05374_,244.16µm
u_core.u_transform_scheduler_core.fifo_x1_i\[0\]\[7\],243.65µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[12\],243.34µm
_07684_,242.58µm
_05070_,242.12µm
u_core.u_transform_scheduler_core.rx_state\[7\],242.07µm
_05171_,241.97µm
_03022_,241.71µm
u_core.u_transform_scheduler_core.rx_state\[11\],241µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.read_issue_count\[1\],240.64µm
_06541_,238.56µm
_04139_,237.84µm
_06711_,237.59µm
u_core.core_X2_i\[7\],237.59µm
_04795_,237.49µm
_05639_,236.93µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[14\],236.88µm
_08285_,236.37µm
_06404_,236.26µm
_06195_,235.2µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[16\],234.13µm
_07267_,234.08µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[2\],233.31µm
_04808_,233.01µm
_07016_,232.96µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[3\],232.19µm
din_ready_o_SL,232.18µm
_03068_,231.99µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[11\],231.33µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[3\],230.87µm
_06753_,230.72µm
_07545_,230.21µm
_07692_,229.14µm
_04616_,229.09µm
_05381_,228.53µm
_08998_,228.53µm
_04837_,228.48µm
_05110_,228.48µm
_06396_,228.32µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[2\],228.17µm
_04193_,227.97µm
_03917_,227.46µm
_03060_,227.1µm
_07728_,226.9µm
_08058_,226.9µm
_08883_,226.85µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[5\],226.54µm
_05009_,226.24µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[3\],226.1µm
u_core.u_transform_scheduler_core.tx_mapper_source_addr\[2\],225.32µm
_04006_,225.17µm
_08234_,225.17µm
_03976_,224.56µm
_05924_,224.56µm
_07151_,224.56µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_j\[3\],224.2µm
net46,224.1µm
_08098_,223.59µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[0\],223.54µm
_09009_,223.49µm
u_core.u_transform_scheduler_core.rx_state\[6\],222.93µm
_03033_,222.11µm
_08054_,221.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[10\],221.81µm
_06819_,221.25µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[11\],220.69µm
_02652_,220.38µm
_02523_,220.23µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[0\],220.23µm
_04700_,220.13µm
_03375_,219.52µm
_03039_,219.21µm
_05359_,219.11µm
clknet_2_0_0_clk_regs,219.01µm
_04355_,218.6µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[0\],218.55µm
clknet_0_clk,217.43µm
_06165_,217.33µm
_06501_,217.33µm
_07668_,217.28µm
_03520_,216.87µm
_06536_,216.21µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_wdata\[7\],216.02µm
_06598_,215.65µm
_08278_,215.65µm
_03600_,215.09µm
_04437_,214.73µm
_06313_,213.41µm
_04813_,213.36µm
_07674_,212.85µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_stage\[0\],212.34µm
_05237_,211.73µm
_04979_,211.12µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_stage\[2\],210.78µm
_07705_,210.56µm
_02525_,210.1µm
_07436_,210.05µm
_05831_,210µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[17\],209.08µm
_04989_,208.93µm
_06113_,208.37µm
_06594_,207.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_re_reg\[7\],207.81µm
_03333_,207.76µm
clknet_leaf_27_clk_regs,207.65µm
_07209_,205.57µm
din_ready_o_OE,204.85µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[14\],204.5µm
_04638_,204.45µm
_05387_,203.94µm
_05439_,203.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[15\],203.89µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[10\],203.33µm
_04205_,202.92µm
clknet_2_2_0_clk_regs,202.82µm
u_core.u_transform_scheduler_core.tx_mem_addr\[4\],202.36µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[9\],201.7µm
_04436_,201.14µm
_02712_,201.09µm
_04596_,200.68µm
_07706_,200.58µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[13\],200.58µm
net69,200.02µm
_06617_,199.97µm
_07202_,199.36µm
_05441_,198.9µm
_00067_,198.85µm
_05045_,198.8µm
u_core.u_transform_scheduler_core.fifo_x0_i\[0\]\[6\],198.29µm
_08192_,197.88µm
_07731_,197.12µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[0\],196.89µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[11\],196.71µm
_08871_,196.61µm
u_core.u_transform_scheduler_core.tx_capture_done,196.61µm
_04797_,196.15µm
_08271_,196.05µm
_07172_,195.49µm
_04137_,194.88µm
_06787_,194.7µm
_02547_,194.52µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[6\],193.86µm
_06619_,193.76µm
_04072_,193.35µm
din_PU[0],192.905µm
u_core.u_transform_scheduler_core.dft12_tx_active,192.84µm
_08104_,192.64µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[1\],192.43µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.slot_phase\[2\],192.28µm
u_core.u_transform_scheduler_core.tx_mem_addr\[6\],191.67µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_stage\[1\],190.75µm
_04634_,190.45µm
_07157_,190.4µm
delaynet_1_core_clk,189.33µm
u_core.top_state\[2\],188.87µm
_07830_,188.77µm
_02599_,188.31µm
_02710_,188.21µm
_07444_,188.21µm
_07072_,188.16µm
_07280_,188.16µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[13\],187.75µm
delaynet_0_core_clk,187.6µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_stage\[1\],187.34µm
_04141_,187.32µm
u_core.top_state\[5\],187.19µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.i_half\[7\],187.19µm
_07351_,187.14µm
_05122_,186.9µm
_04067_,186.63µm
_03688_,186.58µm
_05039_,186.53µm
delaynet_2_core_clk,186.48µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[0\],186.07µm
_07103_,185.97µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[5\],185.53µm
_07054_,185.46µm
clknet_2_3_0_clk_regs,185.46µm
_05440_,185.41µm
_06942_,184.85µm
_07671_,184.24µm
_06131_,183.68µm
_07011_,183.68µm
_03961_,183.27µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[0\],183.27µm
_04915_,183.17µm
_05195_,183.12µm
din_PD[0],182.98µm
_04448_,182.81µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[9\],182.76µm
u_core.u_transform_scheduler_core.ofdm_sample_index\[4\],182.61µm
_04393_,182.15µm
_02268_,182.05µm
_09006_,181.54µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[3\],181.54µm
_04681_,181.03µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_group\[1\],180.93µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[5\],180.57µm
_05907_,180.52µm
_04486_,180.37µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[4\],180.23µm
_05973_,180.14µm
_06940_,179.86µm
_02708_,179.81µm
_04398_,179.76µm
u_core.u_transform_scheduler_core.fifo_x1_q\[0\]\[10\],179.3µm
_05476_,179.25µm
_05878_,179.2µm
_04781_,178.33µm
u_core.u_transform_scheduler_core.bf_X0_q\[9\],177.57µm
_04986_,177.52µm
u_core.u_transform_scheduler_core.tx_mem_addr\[0\],177.11µm
_02584_,177.06µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[1\],177.06µm
_06048_,177.01µm
_06196_,176.45µm
_04356_,175.89µm
_08925_,175.89µm
_04174_,175.38µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[3\],175.38µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[11\],175.33µm
u_core.u_transform_scheduler_core.ofdm_output_done,175.33µm
_06273_,175.28µm
_08190_,174.97µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_phase,174.51µm
_08193_,174.41µm
_05058_,174.21µm
_07164_,173.75µm
_07089_,173.7µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[15\],173.7µm
_07682_,173.65µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[2\],173.51µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[1\],173.19µm
_04602_,173.04µm
_08521_,173.04µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[7\],172.95µm
u_core.top_state\[8\],172.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[2\],172.68µm
_04503_,172.63µm
_07402_,172.48µm
_01707_,172.42µm
_05669_,172.12µm
_04343_,172.07µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[13\],171.56µm
_04217_,171.41µm
_04624_,171µm
_04790_,170.8µm
_07095_,170.29µm
_05484_,170.24µm
_03798_,170.03µm
_03731_,169.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[4\],168.66µm
_02319_,168.56µm
delaynet_3_core_clk,168.56µm
_03909_,168.05µm
_05085_,168.05µm
_06339_,168.05µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[0\],168.05µm
_07247_,167.44µm
_06230_,166.88µm
_04238_,166.62µm
_07677_,166.32µm
_04635_,165.81µm
_03620_,165.76µm
_04887_,165.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[3\],165.25µm
_08094_,165.2µm
u_core.top_state\[9\],164.89µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[3\],164.89µm
_03712_,164.74µm
_06408_,164.38µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[4\],164.33µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[2\],163.9µm
_06486_,163.57µm
_04859_,163.52µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[1\],162.55µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[1\],162.5µm
u_core.u_transform_scheduler_core.rx_state\[8\],162.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[12\],162.5µm
_04761_,162.4µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[8\],162.04µm
_06519_,161.94µm
_07252_,161.43µm
_07448_,161.28µm
_03790_,160.87µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[14\],160.605µm
_05313_,160.16µm
_04365_,159.7µm
_06692_,158.48µm
_06960_,158.48µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[4\],158.07µm
_07192_,157.97µm
_05818_,157.92µm
_07455_,157.51µm
_06551_,156.95µm
_03962_,156.9µm
_04831_,156.34µm
_07657_,156.29µm
_05707_,155.98µm
_05588_,155.68µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_j\[2\],155.42µm
_03963_,155.17µm
_04653_,155.17µm
_04186_,154.66µm
_06158_,154.66µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[3\],154.15µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_j\[1\],153.59µm
_07419_,153.54µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_issued,153.49µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[14\],153.49µm
_08901_,152.98µm
_02220_,152.88µm
_07652_,152.88µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[10\],152.88µm
_08194_,152.52µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[1\],152.32µm
u_core.top_state\[4\],152.01µm
_04697_,151.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[1\],151.96µm
_05594_,151.91µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[15\],151.86µm
_09051_,151.3µm
_08038_,151.25µm
u_core.u_transform_scheduler_core.tx_mem_addr\[5\],151.25µm
_04610_,150.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[2\],150.69µm
_00378_,150.18µm
_07431_,149.06µm
_02082_,148.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[10\],148.5µm
_04675_,148.45µm
_04909_,148.4µm
_04956_,148.4µm
_06981_,148.4µm
_04632_,147.99µm
_04515_,147.89µm
_04850_,147.84µm
_08042_,147.28µm
_05666_,147.095µm
_05629_,146.82µm
_07781_,146.72µm
u_core.u_transform_scheduler_core.rx_state\[14\],145.85µm
_06568_,145.7µm
_06286_,145.6µm
_07116_,145.6µm
clknet_1_0__leaf_clk,145.46µm
_05798_,145.19µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[11\],145.19µm
_04817_,144.58µm
_05895_,144.53µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[12\],144.02µm
_02286_,143.97µm
_04741_,143.92µm
_02238_,143.595µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[15\],143.46µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[12\],143.41µm
_05622_,143.36µm
_04923_,142.85µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.state\[2\],142.54µm
_03732_,142.49µm
_04966_,142.29µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[10\],141.17µm
_05587_,140.61µm
_08888_,140.61µm
_04504_,140.2µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[14\],140.2µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[14\],140.2µm
_05376_,140µm
_07616_,140µm
_04191_,139.49µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_j\[4\],138.98µm
_02540_,138.93µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[2\],138.88µm
_03982_,138.42µm
_04750_,138.37µm
_04992_,137.81µm
_03886_,136.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[6\],136.69µm
_04453_,136.18µm
_04664_,136.18µm
_05220_,135.57µm
_07287_,135.52µm
_02079_,135.01µm
_04991_,135.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[11\],135.01µm
_05401_,134.6µm
_05403_,134.5µm
_05560_,134.45µm
_06919_,134.18µm
_05019_,133.89µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[12\],133.84µm
_03793_,133.43µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[3\],133.43µm
_06840_,133.28µm
_04210_,132.87µm
_04918_,132.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[5\],132.41µm
_06399_,132.36µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[10\],132.36µm
