net,length_um
_04123_,481.65µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[4\],481.49µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[3\],480.88µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[0\],480.66µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],480.48µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],479.97µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],479.41µm
_04499_,479.15µm
u_transform_scheduler_core.u_fft128_modulo_controller.fetch_stage\[2\],478.08µm
core_X2_q\[10\],477.88µm
core_X2_i\[1\],475.54µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_req,474.32µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[5\],472.48µm
net131,471.05µm
_04849_,469.48µm
u_transform_scheduler_core.bf_X0_i\[12\],469.02µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],468.31µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[8\],467.29µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[6\],467.24µm
u_transform_scheduler_core.bf_X1_i\[1\],466.83µm
_00407_,466.48µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[5\],466.12µm
_04739_,465.97µm
_06726_,465.54µm
u_transform_scheduler_core.bf_X0_i\[2\],465.15µm
core_X2_i\[15\],463.32µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[3\],462.71µm
core_X2_q\[5\],461.69µm
_06885_,459.55µm
u_transform_scheduler_core.u_fft128_modulo_controller.read_return_count\[2\],458.69µm
_02790_,458.63µm
_04968_,457.67µm
u_transform_scheduler_core.fifo_x1_i\[0\]\[6\],456.08µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[6\],454.76µm
_08124_,454.21µm
core_X2_i\[0\],453.24µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],452.72µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[1\],452.07µm
_06371_,451.17µm
_04513_,450.44µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,449.3µm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],448.1µm
_05792_,447.74µm
_08600_,446.62µm
standalone_active,446.52µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[4\],446.47µm
_04121_,446.42µm
net235,445.96µm
_04677_,445.74µm
_02723_,445.4µm
