net,length_um
_07044_,443.97µm
core_X2_q\[10\],443.72µm
_06170_,443.62µm
_06887_,442.96µm
u_transform_scheduler_core.bf_X0_i\[15\],442.7µm
_05063_,442.4µm
_02930_,442.09µm
core_X2_i\[2\],441.47µm
_08095_,441.07µm
net81,440.87µm
net79,439.7µm
clknet_leaf_75_clk_regs,438.72µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,437.12µm
_04014_,435.37µm
net94,434.86µm
_02480_,433.69µm
_08479_,432.98µm
net227,432.06µm
_02892_,432.01µm
_02634_,431.81µm
_04835_,431.35µm
u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[15\],430.82µm
core_X2_q\[0\],430.28µm
_03598_,429.67µm
clknet_leaf_87_clk_regs,429.41µm
u_transform_scheduler_core.bf_X0_q\[6\],429.36µm
u_transform_scheduler_core.bf_X0_i\[9\],428.5µm
_08530_,427.02µm
top_state\[6\],426.92µm
net217,426µm
net95,425.85µm
_05408_,425.29µm
net220,424.53µm
clknet_leaf_20_clk_regs,424.21µm
_05598_,423.92µm
clknet_leaf_12_clk_regs,423.66µm
_06188_,423.36µm
net246,420.81µm
_05415_,420.25µm
clknet_leaf_52_clk_regs,419.89µm
net188,419.79µm
_04411_,419.64µm
net17,419.54µm
clknet_leaf_77_clk_regs,419.38µm
net199,418.67µm
net68,418.62µm
_04844_,418.57µm
net71,418.57µm
net111,418.21µm
clknet_leaf_95_clk_regs,417.9µm
_04932_,417.81µm
_06922_,417.76µm
_02888_,417.45µm
_03807_,417.3µm
_05240_,416.74µm
_08075_,414.09µm
net244,413.89µm
_05108_,412.16µm
clknet_leaf_21_clk_regs,411.69µm
_05693_,411.65µm
_05196_,411.09µm
clknet_leaf_90_clk_regs,411.08µm
clknet_leaf_40_clk_regs,410.57µm
_06233_,410.53µm
_04349_,409.74µm
_06836_,409.36µm
_07391_,409µm
_06042_,408.85µm
clknet_leaf_67_clk_regs,408.79µm
_06823_,408.6µm
_06257_,407.68µm
u_transform_scheduler_core.dft12_active,407.37µm
_06880_,407.12µm
_04903_,406.22µm
clknet_leaf_76_clk_regs,405.94µm
_08046_,405.64µm
_04602_,405.59µm
net231,405.59µm
_02821_,405.28µm
_08060_,404.47µm
net65,404.3µm
clknet_leaf_47_clk_regs,404.29µm
_04203_,402.94µm
net101,402.43µm
_04371_,402.23µm
_05781_,401.01µm
_08051_,400.65µm
_04205_,400.55µm
clknet_leaf_56_clk_regs,400.49µm
_04957_,400.4µm
_08531_,399.38µm
clknet_leaf_68_clk_regs,399.17µm
_03813_,399.07µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[1\],398.46µm
clknet_leaf_59_clk_regs,398.1µm
_06815_,397.7µm
clknet_leaf_65_clk_regs,397.49µm
_06894_,397.09µm
_06405_,396.11µm
u_transform_scheduler_core.fft128_inverse_active,395.97µm
u_transform_scheduler_core.ofdm_mem_req,394.715µm
_06830_,394.29µm
core_X2_i\[10\],393.78µm
clknet_leaf_66_clk_regs,393.04µm
_05202_,392µm
clknet_leaf_39_clk_regs,391.02µm
_06064_,390.88µm
clknet_leaf_2_clk_regs,390.77µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],388.53µm
clknet_leaf_37_clk_regs,388.53µm
net112,388.25µm
_05132_,387.52µm
_08529_,387.06µm
_04059_,387.01µm
_06211_,386.96µm
_03814_,386.5µm
_04871_,386.01µm
_03853_,385.93µm
clknet_leaf_96_clk_regs,385.93µm
net109,385.63µm
clknet_leaf_93_clk_regs,385.37µm
clknet_leaf_6_clk_regs,385.17µm
_06816_,384.92µm
_05901_,384.21µm
clknet_leaf_58_clk_regs,383.44µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[8\],383.14µm
clknet_leaf_60_clk_regs,382.88µm
net113,382.83µm
clknet_leaf_92_clk_regs,382.77µm
_02880_,382.73µm
_06186_,382.67µm
net86,382.32µm
clknet_leaf_45_clk_regs,382.01µm
_06381_,380.95µm
net97,380.54µm
_02392_,380.44µm
clknet_leaf_10_clk_regs,380.28µm
_05251_,379.99µm
clknet_leaf_4_clk_regs,379.92µm
clknet_leaf_79_clk_regs,379.72µm
clknet_leaf_42_clk_regs,379.39µm
clknet_leaf_62_clk_regs,378.65µm
clknet_leaf_35_clk_regs,378.55µm
net186,378.35µm
_02859_,377.59µm
_05102_,377.44µm
net187,376.72µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[9\],376.06µm
core_X2_i\[5\],375.86µm
_04436_,374.64µm
_04419_,373.87µm
_05086_,373.52µm
_06282_,373.01µm
clknet_leaf_51_clk_regs,372.29µm
clknet_leaf_33_clk_regs,372.19µm
_04011_,372.04µm
_04817_,371.99µm
_06470_,371.94µm
_05298_,371.28µm
_04621_,371.07µm
clknet_leaf_64_clk_regs,370µm
_04558_,369.95µm
_03581_,369.09µm
_02922_,368.98µm
clknet_leaf_83_clk_regs,368.62µm
_03176_,368.42µm
clknet_leaf_46_clk_regs,368.32µm
_04051_,367.92µm
clknet_leaf_73_clk_regs,367.86µm
clknet_leaf_3_clk_regs,367.81µm
_03533_,367.56µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[10\],367.51µm
_06299_,366.24µm
_05226_,365.68µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[5\],364.76µm
_03562_,364.56µm
_04313_,364.1µm
_04721_,362.93µm
_04311_,362.42µm
_08685_,362.37µm
clknet_leaf_91_clk_regs,361.9µm
_05710_,361.25µm
_06015_,361.2µm
u_transform_scheduler_core.bf_X0_i\[5\],360.74µm
clknet_leaf_82_clk_regs,360.68µm
_04557_,360.64µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[7\],360.23µm
clknet_leaf_17_clk_regs,359.97µm
clknet_leaf_5_clk_regs,359.61µm
_06561_,359.57µm
net69,359.16µm
