test,bin,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,91,64,0,64,0,0.5,0.0
0,92,64,0,64,0,0.5,0.0
0,93,64,0,64,0,0.5,0.0
0,94,64,0,64,0,0.5,0.0
0,95,64,0,64,0,0.5,0.0
0,96,64,0,64,0,0.5,0.0
0,97,64,0,64,0,0.5,0.0
0,98,64,0,64,0,0.5,0.0
0,99,64,0,64,0,0.5,0.0
0,100,64,0,64,0,0.5,0.0
0,101,64,0,64,0,0.5,0.0
0,102,64,0,64,0,0.5,0.0
0,103,64,0,64,0,0.5,0.0
0,104,64,0,64,0,0.5,0.0
0,105,64,0,64,0,0.5,0.0
0,106,64,0,64,0,0.5,0.0
0,107,64,0,64,0,0.5,0.0
0,108,64,0,64,0,0.5,0.0
0,109,64,0,64,0,0.5,0.0
0,110,64,0,64,0,0.5,0.0
0,111,64,0,64,0,0.5,0.0
0,112,64,0,64,0,0.5,0.0
0,113,64,0,64,0,0.5,0.0
0,114,64,0,64,0,0.5,0.0
0,115,64,0,64,0,0.5,0.0
0,116,64,0,64,0,0.5,0.0
0,117,64,0,64,0,0.5,0.0
0,118,64,0,64,0,0.5,0.0
0,119,64,0,64,0,0.5,0.0
0,120,64,0,64,0,0.5,0.0
0,121,64,0,64,0,0.5,0.0
0,122,64,0,64,0,0.5,0.0
0,123,64,0,64,0,0.5,0.0
0,124,64,0,64,0,0.5,0.0
0,125,64,0,64,0,0.5,0.0
0,126,64,0,64,0,0.5,0.0
0,127,64,0,64,0,0.5,0.0
1,0,0,0,0,0,0.0,0.0
1,1,0,0,0,0,0.0,0.0
1,2,0,0,0,0,0.0,0.0
1,3,-12,-6,-12,-6,0.043224967142109265,2.3418766925686896e-16
1,4,0,0,0,0,0.0,0.0
1,5,0,0,0,0,0.0,0.0
1,6,0,0,0,0,0.0,0.0
1,7,3284,6,127,6,25.575183429471018,-4.3456500202466663e-16
1,8,0,0,0,0,0.0,0.0
1,9,0,0,0,0,0.0,0.0
1,10,0,0,0,0,0.0,0.0
1,11,0,1,0,1,0.06272838087235769,-3.469446951953614e-16
1,12,0,0,0,0,0.0,0.0
1,13,0,0,0,0,0.0,0.0
1,14,0,0,0,0,0.0,0.0
1,15,-9,-2,-9,-2,-0.0417724091306237,1.2054327466618604e-15
1,16,0,0,0,0,0.0,0.0
1,17,0,0,0,0,0.0,0.0
1,18,0,0,0,0,0.0,0.0
1,19,6,0,6,0,0.06471022357293443,5.1795138276045526e-17
1,20,0,0,0,0,0.0,0.0
1,21,0,0,0,0,0.0,0.0
1,22,0,0,0,0,0.0,0.0
1,23,-3,0,-3,0,-0.0006105816505262707,6.375611912989061e-16
1,24,0,0,0,0,0.0,0.0
1,25,0,0,0,0,0.0,0.0
1,26,0,0,0,0,0.0,0.0
1,27,13,-1,13,-1,0.1092400505214497,-1.5888840436504314e-16
1,28,0,0,0,0,0.0,0.0
1,29,0,0,0,0,0.0,0.0
1,30,0,0,0,0,0.0,0.0
1,31,-10,0,-10,0,-0.06788511268015959,4.29815476581326e-16
1,32,0,0,0,0,0.0,0.0
1,33,0,0,0,0,0.0,0.0
1,34,0,0,0,0,0.0,0.0
1,35,-4,0,-4,0,-0.029837036458052198,2.8622937353617317e-16
1,36,0,0,0,0,0.0,0.0
1,37,0,0,0,0,0.0,0.0
1,38,0,0,0,0,0.0,0.0
1,39,16,-2,16,-2,0.12341220099490724,-1.5447880266498233e-15
1,40,0,0,0,0,0.0,0.0
1,41,0,0,0,0,0.0,0.0
1,42,0,0,0,0,0.0,0.0
1,43,-5,0,-5,0,-0.013700336722059472,4.666406150377611e-16
1,44,0,0,0,0,0.0,0.0
1,45,0,0,0,0,0.0,0.0
1,46,0,0,0,0,0.0,0.0
1,47,6,-4,6,-4,0.03530198152371464,-1.81478672381597e-16
1,48,0,0,0,0,0.0,0.0
1,49,0,0,0,0,0.0,0.0
1,50,0,0,0,0,0.0,0.0
1,51,12,-1,12,-1,0.10379286662681131,-1.0759515954868099e-16
1,52,0,0,0,0,0.0,0.0
1,53,0,0,0,0,0.0,0.0
1,54,0,0,0,0,0.0,0.0
1,55,8,-1,8,-1,0.084847446157339,9.524207825395964e-18
