test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,114,0,-1,0,-1,0.001696492648164632,-0.0029947283373104247
0,115,0,-1,0,-1,0.0010983364590999448,-0.00099547414033575
0,116,-1,0,-1,0,-0.0007101509764090015,0.00031478827810193903
0,117,-1,0,-1,0,-0.003155853436518429,0.00031082443375222827
0,118,-1,-1,-1,-1,-0.00537772534901934,-0.0012076086101673743
0,119,-1,-1,-1,-1,-0.006515747233662675,-0.0039053885975592123
0,120,-1,-1,-1,-1,-0.006025031201567631,-0.0069846855629719755
0,121,-1,-2,-1,-2,-0.00390625,-0.009430521728019902
0,122,-1,-2,-1,-2,-0.0007640780106292989,-0.010358352865456038
0,123,0,-2,0,-2,0.00234255251042966,-0.0093519938468676
0,124,0,-1,0,-1,0.00422650339835084,-0.006674378225066245
0,125,0,-1,0,-1,0.003980713760357449,-0.003266887355485161
0,126,0,-1,0,-1,0.0013393576564184894,-0.000516647259541743
0,127,-1,0,-1,0,-0.0031325749371706934,0.00015389353832998318
0,128,-2,-1,-2,-1,-0.008099867371131015,-0.0022415351847862113
0,129,-2,-1,-2,-1,-0.011772147445558297,-0.007865897445558297
0,130,-2,-3,-2,-3,-0.012397358753242677,-0.015885747147510114
0,131,-2,-4,-2,-4,-0.008796331402619893,-0.024584099355101148
0,132,-1,-5,-1,-5,-0.0007793647209494328,-0.03174779902070629
0,133,1,-5,1,-5,0.01068802509850415,-0.03523369687581265
0,134,3,-5,3,-5,0.02363494398862958,-0.03355904197404753
0,135,4,-4,4,-4,0.03552477215974001,-0.026346966678460773
0,136,5,-2,5,-2,0.04387283570172289,-0.014493627193408628
1,0,2,-3,2,-3,0.016176837806444584,-0.020614447031062588
1,1,2,-3,2,-3,0.017168855070204887,-0.019795856217673432
1,2,2,-3,2,-3,0.01811951105828697,-0.01892957545274368
1,3,2,-3,2,-3,0.019026515557147915,-0.018017691682513284
1,4,2,-3,2,-3,0.019887683513505748,-0.01706240171485631
1,5,2,-3,2,-3,0.02070094029832421,-0.016066006926978363
1,6,2,-2,2,-2,0.02146432670477578,-0.015030907721197317
1,7,2,-2,2,-2,0.022176003668142576,-0.013959597742163887
1,8,2,-2,2,-2,0.0228342566962843,-0.012854657869453223
1,9,3,-2,3,-2,0.0234375,-0.01171875
1,10,3,-2,3,-2,0.023984280313333155,-0.010554610635355503
1,11,3,-2,3,-2,0.024473280394616652,-0.00936504428921573
1,12,3,-2,3,-2,0.024903322199823323,-0.008152916731102234
1,13,3,-1,3,-1,0.025273369720577216,-0.00692114808247235
1,14,3,-1,3,-1,0.025582531479988495,-0.005672705781890814
1,15,3,-1,3,-1,0.025830062680299377,-0.004410597436210362
1,16,3,-1,3,-1,0.026015366997167125,-0.0031378635749833676
1,17,3,-1,3,-1,0.026137998016261675,-0.0018575703255598493
1,18,3,-1,3,-1,0.026197660308716817,-0.0005728020265181148
1,19,3,0,3,0,0.026194210142844232,0.0007133462027770331
1,20,3,0,3,0,0.02612765583039569,0.001997775918587944
1,21,3,0,3,0,0.025998157706539366,0.0032773928172264745
1,22,3,0,3,0,0.025806027743598314,0.004549114189502598
1,23,3,0,3,0,0.02555172879948187,0.0058098763472408665
1,24,3,0,3,0,0.025235873502620347,0.007056642003973565
1,25,3,1,3,1,0.024859222776089564,0.008286407592029855
1,26,3,1,3,1,0.02442268400448042,0.009496210498393356
1,27,3,1,3,1,0.023927308847930016,0.010683136201896428
1,28,2,1,2,1,0.023374290708580214,0.011844325294556913
1,29,2,1,2,1,0.022764961855567378,0.012976980370142442
1,30,2,1,2,1,0.02210079021546932,0.01407837276336706
1,31,2,1,2,1,0.021383375835941607,0.015145849123484913
1,32,2,2,2,2,0.020614447031062588,0.016176837806444584
1,33,2,2,2,2,0.019795856217673432,0.017168855070204887
1,34,2,2,2,2,0.01892957545274368,0.01811951105828697
1,35,2,2,2,2,0.018017691682513284,0.019026515557147915
1,36,2,2,2,2,0.01706240171485631,0.019887683513505748
1,37,2,2,2,2,0.016066006926978363,0.02070094029832421
1,38,1,2,1,2,0.015030907721197317,0.02146432670477578
1,39,1,2,1,2,0.013959597742163887,0.022176003668142576
1,40,1,3,1,3,0.012854657869453223,0.0228342566962843
1,41,1,3,1,3,0.01171875,0.0234375
1,42,1,2,1,2,0.010554610635355503,0.023984280313333155
1,43,1,3,1,3,0.00936504428921573,0.024473280394616652
1,44,1,3,1,3,0.008152916731102234,0.024903322199823323
1,45,0,3,0,3,0.00692114808247235,0.025273369720577216
1,46,0,3,0,3,0.005672705781890814,0.025582531479988495
1,47,0,3,0,3,0.004410597436210362,0.025830062680299377
1,48,0,3,0,3,0.0031378635749833676,0.026015366997167125
1,49,0,3,0,3,0.0018575703255598493,0.026137998016261675
