net,length_um
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[6\],387.01µm
net39,385.99µm
net321,385.99µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[0\],385.94µm
net40,385.84µm
net364,385.78µm
_09286_,385.38µm
net914,384.41µm
net836,383.9µm
net901,383.29µm
net1278,383.19µm
net562,383.04µm
net1019,382.37µm
net88,381.97µm
net462,381.51µm
net1138,381.25µm
net469,380.95µm
net934,380.44µm
net1353,380.44µm
_06489_,379.02µm
net1164,378.86µm
net1187,378.71µm
net858,378.26µm
net366,377.84µm
net1107,377.74µm
_03148_,377.54µm
u_transform_scheduler_core.bf_X1_q\[14\],377.13µm
net1077,376.72µm
_05715_,376.52µm
u_transform_scheduler_core.bf_X0_q\[2\],376.47µm
net90,376.47µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[10\],375.91µm
_06320_,375.81µm
_06364_,374.69µm
_02633_,374.64µm
net276,374.53µm
net1134,374.43µm
_05336_,374.18µm
_04957_,373.84µm
_07813_,373.72µm
net555,373.67µm
_05581_,373.62µm
net1264,373.62µm
u_transform_scheduler_core.bf_X1_i\[14\],373.52µm
net873,373.36µm
net1409,373.26µm
net69,372.6µm
net1374,371.99µm
net1159,371.43µm
u_transform_scheduler_core.u_fft128_modulo_controller.slot_phase\[0\],371.38µm
net94,370.87µm
_03203_,370.38µm
_07852_,370.26µm
_03691_,370.21µm
net349,369.9µm
net1548,369.85µm
net92,369.75µm
net93,369.19µm
net658,368.83µm
net46,368.07µm
_07947_,367.56µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],367.41µm
core_X2_i\[2\],366.33µm
_03257_,365.42µm
_05719_,365.12µm
net972,365.12µm
net505,364.66µm
net7,364.15µm
net76,363.74µm
_06377_,363.64µm
_03631_,363.38µm
net1243,363.08µm
net102,362.97µm
net1104,362.67µm
net147,362.57µm
net242,362.06µm
net1259,362.01µm
_05953_,361.79µm
net1196,361.5µm
net660,361.3µm
net1162,360.99µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[5\],360.5µm
_04427_,360.41µm
net1343,360.33µm
net666,360.08µm
net1219,359.16µm
net1398,358.09µm
net352,357.68µm
net15,357.33µm
_03482_,356.87µm
_03649_,356.61µm
net890,356.51µm
_06048_,356.26µm
net916,356.13µm
net1283,355.8µm
net1616,355.75µm
u_transform_scheduler_core.rx_small_inverse,355.6µm
net881,353.86µm
_08240_,353.69µm
net21,353.41µm
net814,353.15µm
net1252,353.1µm
clknet_6_33_0_clk_regs,353µm
_05676_,352.44µm
net1122,352.01µm
_04350_,351.93µm
_05833_,351.78µm
_05390_,351.73µm
_06038_,351.73µm
net1103,351.67µm
net1211,351.27µm
u_transform_scheduler_core.bf_X1_i\[9\],350.66µm
net831,350.2µm
net1181,349.69µm
u_transform_scheduler_core.bf_X1_i\[5\],348.98µm
net531,348.72µm
_05931_,348.52µm
_06667_,348.52µm
u_transform_scheduler_core.mod_diag_addr0\[4\],348.37µm
net968,348.32µm
_07962_,347.86µm
net9,347.81µm
net409,347.45µm
net342,347.09µm
net694,346.6µm
net106,346.48µm
net1009,346.43µm
_06534_,346.23µm
net1147,345.82µm
net455,345.67µm
_02582_,345.57µm
net1308,344.78µm
net284,344.6µm
net1027,344.6µm
u_transform_scheduler_core.dft12_phase\[1\],343.99µm
_05374_,343.53µm
_05170_,343.48µm
_07001_,343.38µm
_06668_,343.28µm
net1301,342.43µm
net317,342.4µm
net1076,342.31µm
_05633_,342.26µm
net1161,341.9µm
_04112_,341.65µm
_03249_,341.24µm
net523,340.68µm
_07157_,340.53µm
_03217_,340.17µm
net1289,339.7µm
net1354,339.49µm
net912,339.47µm
_02657_,338.95µm
net198,338.34µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],338.29µm
_05234_,338.24µm
net70,337.32µm
net833,336.45µm
net48,336.2µm
net1020,336.2µm
_03157_,335.54µm
net299,335.54µm
net1241,335.18µm
net411,335.08µm
net839,335.03µm
net1130,335.03µm
_05001_,334.37µm
_05225_,334.32µm
_05940_,333.96µm
net300,333.91µm
net475,333.91µm
net1189,333.86µm
_04423_,333.76µm
net1223,333.76µm
net1246,333.35µm
_05995_,333.3µm
