net,length_um
_04123_,622.92µm
_04147_,622.36µm
u_transform_scheduler_core.fft128_block_ready,621.65µm
_05945_,621.14µm
_07119_,617.06µm
net101,616.4µm
_05792_,615.18µm
net161,615.18µm
_04445_,613.86µm
_04398_,612.85µm
_04849_,606.53µm
_08547_,605.56µm
_05878_,605.51µm
_02548_,604.77µm
_04415_,604.08µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[3\],603.73µm
_02809_,603.06µm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],601.94µm
net61,601.84µm
u_transform_scheduler_core.mod_diag_addr0\[3\],601.59µm
net79,600.62µm
_05906_,599.96µm
net76,599.09µm
_08515_,598.48µm
net12,598.28µm
_02560_,597.05µm
_08596_,596.9µm
net100,596.14µm
net176,595.48µm
_03796_,595.02µm
u_transform_scheduler_core.tx_output_done,593.19µm
u_transform_scheduler_core.fifo_x2_q\[0\]\[10\],591.46µm
_08139_,590.59µm
_02773_,589.27µm
_04252_,588.71µm
_02699_,588.5µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[12\],588.2µm
net69,587.84µm
_08172_,584.89µm
_05920_,581.94µm
_07208_,581.78µm
net62,581.07µm
_04939_,580.72µm
_07209_,580.1µm
net229,580.05µm
_04917_,579.19µm
u_transform_scheduler_core.rx_small_radix3,578.06µm
_02105_,574.61µm
_04143_,572.32µm
_05000_,571.82µm
net196,570.99µm
clknet_leaf_49_clk_regs,570.53µm
net217,569.92µm
clknet_leaf_32_clk_regs,569.91µm
_04704_,569.06µm
_04414_,566.92µm
u_transform_scheduler_core.dft12_state\[1\],566.31µm
_02937_,566µm
net98,565.18µm
_04382_,564.58µm
_03878_,564.07µm
_05131_,562.8µm
_05959_,561.17µm
_08198_,557.55µm
_02463_,555.92µm
net80,555.87µm
_04874_,555.11µm
_04498_,553.17µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[4\],552.87µm
_06431_,552.77µm
u_transform_scheduler_core.mod_diag_addr1\[4\],552.16µm
_02598_,551.85µm
_04982_,551.49µm
_06552_,550.63µm
_04401_,549.66µm
_04215_,549.61µm
net235,548.03µm
_04994_,547.78µm
net64,547.52µm
net33,545.28µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,545.12µm
_02977_,542.94µm
net43,542.23µm
_02983_,541.67µm
net118,541.31µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[7\],540.47µm
net112,539.88µm
_03803_,539.07µm
_02589_,536.22µm
_06559_,535.1µm
_03375_,534.59µm
net225,533.01µm
net70,532.3µm
_02995_,529.86µm
_08600_,529.65µm
_04232_,529.5µm
u_transform_scheduler_core.dft12_base\[3\],528.58µm
u_transform_scheduler_core.fifo_inverse\[0\]\[0\],528.33µm
_04997_,528.12µm
u_transform_scheduler_core.mod_diag_addr1\[3\],527.67µm
u_transform_scheduler_core.mod_diag_addr1\[0\],527.11µm
_08130_,526.7µm
_08570_,525.84µm
net137,524.05µm
_02578_,522.63µm
_04364_,522.07µm
_04801_,520.95µm
_04079_,520.9µm
clknet_leaf_4_clk_regs,518.95µm
net209,518.405µm
_05162_,517.64µm
clknet_leaf_12_clk_regs,516.46µm
_05461_,515.86µm
net34,515.5µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[9\],515.3µm
_02566_,513.92µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[6\],513.67µm
net232,513.57µm
_04984_,512.65µm
_05439_,512.45µm
_05525_,512.4µm
_02433_,511.48µm
_05487_,510.72µm
clknet_leaf_62_clk_regs,510.71µm
_02721_,509.95µm
u_transform_scheduler_core.dft12_base\[2\],509.49µm
clknet_leaf_13_clk_regs,509.23µm
_04814_,508.48µm
net214,508.47µm
net129,508.02µm
_05417_,507.56µm
net81,507µm
_02594_,506.77µm
u_transform_scheduler_core.mod_diag_addr0\[4\],504.81µm
net44,504.2µm
_04739_,504.05µm
_04239_,503.41µm
_04295_,503.38µm
_00350_,502.98µm
_05944_,502.88µm
net172,502.87µm
_04287_,502.06µm
_04766_,501.35µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[15\],500.84µm
clknet_leaf_51_clk_regs,500.17µm
_05889_,499.62µm
_04264_,499.31µm
net158,499.1µm
_06663_,498.55µm
_04249_,498.04µm
_08230_,497.43µm
_08590_,497.43µm
_04676_,495.95µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[10\],494.63µm
_05683_,493.25µm
clknet_leaf_35_clk_regs,493.12µm
_04944_,492.95µm
_02317_,492.54µm
clknet_leaf_18_clk_regs,492.38µm
_04488_,491.37µm
_04672_,489.74µm
_06615_,489.64µm
net99,488.92µm
clknet_leaf_76_clk_regs,488.46µm
_05687_,487.45µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],485.52µm
clknet_leaf_21_clk_regs,485.15µm
_05183_,484.65µm
_05397_,483.99µm
_02886_,483.94µm
u_transform_scheduler_core.fft128_block_inverse,483.38µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],483.35µm
_05999_,483.12µm
_04666_,483.02µm
_05550_,482.97µm
net134,482.74µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],482.57µm
_02579_,482.56µm
clknet_leaf_50_clk_regs,480.01µm
_04410_,479.56µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_req,478.95µm
_06861_,478.9µm
top_state\[6\],478.49µm
_06344_,477.78µm
clknet_leaf_67_clk_regs,477.11µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],476.76µm
_04171_,476.25µm
_04677_,475.64µm
_07178_,474.31µm
clknet_leaf_58_clk_regs,474.21µm
_06452_,473.86µm
clknet_leaf_46_clk_regs,472.68µm
_04267_,472.23µm
_07021_,472.13µm
net173,471.31µm
clknet_leaf_14_clk_regs,471.23µm
clknet_leaf_68_clk_regs,471.19µm
_03394_,471.16µm
u_transform_scheduler_core.mod_diag_addr0\[5\],471.11µm
clknet_leaf_44_clk_regs,470.9µm
clknet_leaf_38_clk_regs,470.49µm
clknet_leaf_83_clk_regs,470.13µm
clknet_leaf_52_clk_regs,469.93µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],469.89µm
_06918_,469.43µm
clknet_leaf_19_clk_regs,468.96µm
clknet_leaf_71_clk_regs,468.91µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],468.82µm
net166,468.05µm
clknet_leaf_70_clk_regs,467.89µm
_05866_,467.65µm
_06430_,467.65µm
clknet_leaf_2_clk_regs,467.03µm
_08126_,465.05µm
_04285_,464.54µm
_03913_,463.93µm
_05508_,463.73µm
clknet_leaf_59_clk_regs,463.36µm
_06827_,463.27µm
_05997_,463.22µm
clknet_leaf_40_clk_regs,463.06µm
clknet_leaf_33_clk_regs,462.75µm
_00039_,462.15µm
standalone_active,461.22µm
_02631_,458.79µm
u_transform_scheduler_core.mod_diag_addr1\[6\],457.77µm
_04988_,457.03µm
_05688_,456.62µm
clknet_leaf_34_clk_regs,456.59µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[4\],456.36µm
_05680_,456.19µm
u_transform_scheduler_core.mod_diag_addr1\[5\],456.09µm
net132,455.38µm
clknet_leaf_60_clk_regs,455.32µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[5\],454.26µm
_04648_,454.21µm
net174,453.85µm
_04945_,453.47µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[5\],452.63µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[11\],452.02µm
_04675_,451.61µm
_02962_,451µm
_00349_,449.32µm
clknet_leaf_0_clk_regs,449.26µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],449.12µm
clknet_leaf_80_clk_regs,448.24µm
_03802_,448.15µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,447.88µm
_02930_,447.23µm
clknet_leaf_24_clk_regs,447.22µm
clknet_leaf_25_clk_regs,447.12µm
clknet_leaf_7_clk_regs,446.61µm
_04617_,445.09µm
_04278_,444.43µm
clknet_leaf_3_clk_regs,444.25µm
clknet_leaf_82_clk_regs,444.17µm
_07035_,444.13µm
_06322_,443.67µm
_04716_,443.26µm
_05160_,441.89µm
clknet_leaf_23_clk_regs,441.37µm
_02720_,438.58µm
clknet_leaf_77_clk_regs,436.99µm
_04080_,436.545µm
clknet_leaf_27_clk_regs,436.54µm
clknet_leaf_57_clk_regs,436.18µm
clknet_leaf_36_clk_regs,436.08µm
_04622_,435.42µm
clknet_leaf_28_clk_regs,435.11µm
_04302_,434.96µm
_05390_,434.76µm
clknet_leaf_53_clk_regs,434.65µm
_02445_,433.69µm
clknet_leaf_43_clk_regs,433.18µm
top_state\[12\],433.08µm
u_transform_scheduler_core.mod_diag_addr0\[6\],432.52µm
_06925_,432.47µm
clknet_leaf_65_clk_regs,430.78µm
clknet_leaf_39_clk_regs,430.73µm
clknet_leaf_74_clk_regs,429.76µm
_02537_,429.11µm
_08266_,429.11µm
clknet_leaf_75_clk_regs,429.07µm
clknet_leaf_6_clk_regs,427.93µm
clknet_leaf_26_clk_regs,427.205µm
clknet_leaf_22_clk_regs,426.71µm
clknet_leaf_64_clk_regs,426.25µm
clknet_leaf_5_clk_regs,425.23µm
_04686_,425.14µm
clknet_leaf_73_clk_regs,424.93µm
clknet_leaf_42_clk_regs,423.5µm
_06387_,423.41µm
_02255_,423.15µm
clknet_leaf_41_clk_regs,422.99µm
