net,length_um
_3755_,112.05µm
u_core.re_q_lo\[1\],111.91µm
_1666_,111.49µm
net213,111.49µm
_3599_,111.23µm
u_core.topr\[15\],111.03µm
clknet_5_15__leaf_clk_i_regs,111.03µm
_0473_,110.88µm
net32,110.57µm
net206,110.42µm
_2922_,109.76µm
_0298_,109.25µm
_0708_,109.25µm
_3974_,108.97µm
sch_busy,108.74µm
_1120_,108.69µm
_1222_,108.64µm
net165,108.48µm
_3072_,108.23µm
net442,108.13µm
clknet_4_10_0_clk_i_regs,107.67µm
_1387_,107.57µm
_2530_,107.57µm
_0588_,107.01µm
u_core.re_q_lo\[2\],106.92µm
u_core.re_d\[15\],106.82µm
net444,106.57µm
_2780_,106.5µm
net117,106.4µm
net198,106.04µm
_2797_,105.89µm
_3778_,105.89µm
_3396_,105.84µm
_3793_,105.84µm
_3914_,105.84µm
_2030_,105.38µm
_3335_,105.33µm
_1879_,104.87µm
net238,104.87µm
net284,104.87µm
_2612_,104.82µm
u_core.topr\[11\],104.82µm
net430,104.77µm
_3531_,104.26µm
_1266_,104.21µm
_3796_,103.7µm
_1112_,103.65µm
_1488_,103.65µm
_1203_,103.6µm
_3178_,103.37µm
u_core.im_d\[2\],103.19µm
net207,103.19µm
_3538_,103.04µm
net242,102.83µm
clknet_5_13__leaf_clk_i_regs,102.68µm
u_core.re_d\[1\],101.83µm
_3817_,101.41µm
clknet_4_13_0_clk_i_regs,101.41µm
_1349_,101.36µm
net445,101.36µm
_3834_,101.15µm
_1230_,100.95µm
_4104_,100.85µm
_1237_,100.8µm
net449,100.8µm
clknet_5_3__leaf_clk_i_regs,100.54µm
net116,100.34µm
net60,100.29µm
_0663_,99.78µm
_0687_,99.2µm
_1618_,99.12µm
_3037_,98.56µm
_3368_,98.56µm
u_core.im_d\[15\],98.56µm
u_core.re_d\[2\],98.42µm
_2064_,98.1µm
net180,98.05µm
_0641_,98µm
net384,98µm
_0584_,97.54µm
_3348_,97.49µm
_2821_,97.47µm
_3544_,96.88µm
_2921_,96.42µm
u_map.state\[1\],96.42µm
_3964_,95.76µm
u_sch.grp\[3\],95.3µm
_0766_,95.25µm
_1428_,95.25µm
_4025_,95.25µm
u_core.im_d\[1\],94.23µm
clknet_4_0_0_clk_i_regs,94.08µm
u_core.re_d\[0\],94.04µm
